               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  76,            0.041977,            0.034431,            0.039715,             0.11446,             0.63592,             0.18521,             0.11133,            0.033983,            0.029402,            0.036469,            0.002575,            0.002575,            0.002575
                  77,            0.038559,            0.034237,            0.037501,            0.099003,             0.64618,             0.18243,              0.1114,             0.03469,            0.029315,            0.036484,            0.002476,            0.002476,            0.002476
                  78,            0.045784,            0.033465,            0.046151,             0.10319,             0.64781,              0.1844,             0.11156,            0.033083,            0.029097,            0.036453,            0.002377,            0.002377,            0.002377
                  79,            0.044721,            0.035128,            0.042508,             0.10514,             0.65206,             0.18172,             0.11404,            0.032298,            0.028853,            0.036476,            0.002278,            0.002278,            0.002278
                  80,            0.038469,            0.033708,            0.039422,             0.10544,                0.67,             0.18295,             0.11429,            0.032027,             0.02883,            0.036469,            0.002179,            0.002179,            0.002179
                  81,            0.039088,            0.031245,            0.039936,             0.10641,             0.66804,             0.18414,             0.11551,            0.032021,            0.028929,            0.036484,             0.00208,             0.00208,             0.00208
                  82,            0.037112,            0.033961,            0.036205,             0.10198,             0.68633,             0.18456,             0.11551,            0.032124,            0.029026,            0.036476,            0.001981,            0.001981,            0.001981
                  83,             0.03893,            0.034433,            0.039308,             0.10197,             0.68956,             0.18695,             0.11779,            0.032082,            0.028887,            0.036453,            0.001882,            0.001882,            0.001882
                  84,            0.041009,             0.03119,            0.041166,             0.10419,             0.69337,             0.18754,             0.11817,            0.032032,            0.028768,             0.03643,            0.001783,            0.001783,            0.001783
                  85,            0.039259,            0.033586,            0.038602,             0.10522,             0.68541,             0.18966,              0.1197,            0.032512,            0.028808,            0.036446,            0.001684,            0.001684,            0.001684
                  86,            0.043847,             0.03217,            0.041613,             0.10448,             0.69621,             0.19151,             0.12111,            0.032332,            0.028808,            0.036407,            0.001585,            0.001585,            0.001585
                  87,            0.037483,            0.035664,            0.040367,             0.10451,             0.69314,             0.19168,             0.12167,            0.032166,            0.028858,            0.036415,            0.001486,            0.001486,            0.001486
                  88,             0.03631,            0.031249,             0.03791,             0.10656,              0.7131,             0.19277,             0.12201,            0.032021,            0.028749,            0.036392,            0.001387,            0.001387,            0.001387
                  89,            0.037848,            0.033238,            0.040557,             0.10547,             0.69337,             0.19203,             0.12209,            0.032088,            0.028753,            0.036392,            0.001288,            0.001288,            0.001288
                  90,            0.036643,            0.033071,            0.036988,             0.10262,             0.66174,             0.19239,             0.12127,              0.0318,             0.02863,            0.036369,            0.001189,            0.001189,            0.001189
                  91,            0.035522,            0.030859,              0.0393,             0.10699,             0.69509,             0.19257,             0.12339,            0.031846,            0.028634,            0.036339,             0.00109,             0.00109,             0.00109
                  92,             0.03976,            0.033359,            0.041144,             0.10383,              0.6537,             0.19299,             0.12364,            0.031764,            0.028609,            0.036331,            0.000991,            0.000991,            0.000991
                  93,            0.042545,            0.034628,            0.043349,             0.10453,             0.67109,             0.19415,             0.12437,            0.031723,            0.028587,            0.036316,            0.000892,            0.000892,            0.000892
                  94,            0.033955,            0.031266,            0.036731,             0.10628,             0.67864,             0.19611,             0.12562,            0.031621,            0.028504,            0.036308,            0.000793,            0.000793,            0.000793
                  95,            0.040587,            0.036073,            0.040654,             0.10684,              0.6696,             0.19421,             0.12447,            0.031573,            0.028458,            0.036301,            0.000694,            0.000694,            0.000694
                  96,            0.042942,            0.036036,            0.042539,             0.10834,             0.66529,             0.19218,             0.12242,            0.031559,             0.02846,            0.036278,            0.000595,            0.000595,            0.000595
                  97,            0.036194,            0.037571,            0.038381,             0.10598,             0.63289,             0.19432,             0.12483,            0.031486,            0.028422,            0.036278,            0.000496,            0.000496,            0.000496
                  98,            0.039587,            0.033967,            0.040895,             0.10522,             0.63547,             0.19298,             0.12396,            0.031475,            0.028448,             0.03627,            0.000397,            0.000397,            0.000397
                  99,            0.038382,            0.032419,            0.040489,             0.10448,             0.63547,             0.19349,             0.12458,            0.031437,            0.028446,             0.03627,            0.000298,            0.000298,            0.000298
