Name,URL
Dabolim Airport,https://en.wikipedia.org/wiki/Dabolim_Airport
Gaya Airport,https://en.wikipedia.org/wiki/Gaya_Airport
Faisalabad International Airport,https://en.wikipedia.org/wiki/Faisalabad_International_Airport
Islamabad International Airport,https://en.wikipedia.org/wiki/Islamabad_International_Airport
Jinnah International Airport,https://en.wikipedia.org/wiki/Jinnah_International_Airport
Multan International Airport,https://en.wikipedia.org/wiki/Multan_International_Airport
Quetta International Airport,https://en.wikipedia.org/wiki/Quetta_International_Airport
Shaikh Zayed International Airport,https://en.wikipedia.org/wiki/Shaikh_Zayed_International_Airport
Sialkot International Airport,https://en.wikipedia.org/wiki/Sialkot_International_Airport
Turbat International Airport,https://en.wikipedia.org/wiki/Turbat_International_Airport
Allama Iqbal International Airport,https://en.wikipedia.org/wiki/Allama_Iqbal_International_Airport
Bahawalpur Airport,https://en.wikipedia.org/wiki/Bahawalpur_Airport
Turbat International Airport,https://en.wikipedia.org/wiki/Turbat_International_Airport
Presidente Castro Pinto International Airport,https://en.wikipedia.org/wiki/Presidente_Castro_Pinto_International_Airport
Zumbi dos Palmares International Airport,https://en.wikipedia.org/wiki/Zumbi_dos_Palmares_International_Airport
Eduardo Gomes International Airport,https://en.wikipedia.org/wiki/Eduardo_Gomes_International_Airport
Greater Natal International Airport,https://en.wikipedia.org/wiki/Greater_Natal_International_Airport
Petrolina Airport,https://en.wikipedia.org/wiki/Petrolina_Airport
Salgado Filho Porto Alegre International Airport,https://en.wikipedia.org/wiki/Salgado_Filho_Porto_Alegre_International_Airport
Governador Jorge Teixeira de Oliveira International Airport,https://en.wikipedia.org/wiki/Governador_Jorge_Teixeira_de_Oliveira_International_Airport
Recife GuararapesûGilberto Freyre International Airport,https://en.wikipedia.org/wiki/Recife/Guararapes%E2%80%93Gilberto_Freyre_International_Airport
Rio Branco International Airport,https://en.wikipedia.org/wiki/Rio_Branco_International_Airport
Santos Dumont Airport,https://en.wikipedia.org/wiki/Santos_Dumont_Airport
Salvador International Airport,https://en.wikipedia.org/wiki/Salvador_International_Airport
Marechal Cunha Machado International Airport,https://en.wikipedia.org/wiki/Marechal_Cunha_Machado_International_Airport
Teresina Airport,https://en.wikipedia.org/wiki/Teresina_Airport
Heydar Aliyev International Airport,https://en.wikipedia.org/wiki/Heydar_Aliyev_International_Airport
Ganja International Airport,https://en.wikipedia.org/wiki/Ganja_International_Airport
Nakhchivan International Airport,https://en.wikipedia.org/wiki/Nakhchivan_International_Airport
Qabala International Airport,https://en.wikipedia.org/wiki/Qabala_International_Airport
Lankaran International Airport,https://en.wikipedia.org/wiki/Lankaran_International_Airport
Zaqatala International Airport,https://en.wikipedia.org/wiki/Zaqatala_International_Airport
Grodno Airport,https://en.wikipedia.org/wiki/Grodno_Airport
Gomel Airport,https://en.wikipedia.org/wiki/Gomel_Airport
Minsk National Airport,https://en.wikipedia.org/wiki/Minsk_National_Airport
Banja Luka International Airport,https://en.wikipedia.org/wiki/Banja_Luka_International_Airport
Sarajevo International Airport,https://en.wikipedia.org/wiki/Sarajevo_International_Airport
Tuzla International Airport,https://en.wikipedia.org/wiki/Tuzla_International_Airport
Mostar Airport,https://en.wikipedia.org/wiki/Mostar_Airport
Burgas Airport,https://en.wikipedia.org/wiki/Burgas_Airport
Plovdiv Airport,https://en.wikipedia.org/wiki/Plovdiv_Airport
Sofia Airport,https://en.wikipedia.org/wiki/Sofia_Airport
Varna Airport,https://en.wikipedia.org/wiki/Varna_Airport
Tallinn Airport,https://en.wikipedia.org/wiki/Tallinn_Airport
Tartu Airport,https://en.wikipedia.org/wiki/Tartu_Airport
Ambrolauri Airport,https://en.wikipedia.org/wiki/Ambrolauri_Airport
Batumi International Airport,https://en.wikipedia.org/wiki/Batumi_International_Airport
David the Builder Kutaisi International Airport,https://en.wikipedia.org/wiki/David_the_Builder_Kutaisi_International_Airport
Queen Tamar Airport,https://en.wikipedia.org/wiki/Queen_Tamar_Airport
Natakhtari Airfield,https://en.wikipedia.org/wiki/Natakhtari_Airfield
Sukhumi Babushara Airport,https://en.wikipedia.org/wiki/Sukhumi_Babushara_Airport
Tbilisi International Airport,https://en.wikipedia.org/wiki/Tbilisi_International_Airport
Riga International Airport,https://en.wikipedia.org/wiki/Riga_International_Airport
Ventspils International Airport,https://en.wikipedia.org/wiki/Ventspils_International_Airport
Arad International Airport,https://en.wikipedia.org/wiki/Arad_International_Airport
George Enescu International Airport,https://en.wikipedia.org/wiki/George_Enescu_International_Airport
Maramure Airport,https://en.wikipedia.org/wiki/Maramure%C8%99_Airport
Cluj International Airport,https://en.wikipedia.org/wiki/Cluj_International_Airport
Craiova International Airport,https://en.wikipedia.org/wiki/Craiova_International_Airport
Abakan International Airport,https://en.wikipedia.org/wiki/Abakan_International_Airport
Ugolny Airport,https://en.wikipedia.org/wiki/Ugolny_Airport
Anapa Airport,https://en.wikipedia.org/wiki/Anapa_Airport
Talagi Airport,https://en.wikipedia.org/wiki/Talagi_Airport
Narimanovo Airport,https://en.wikipedia.org/wiki/Narimanovo_Airport
Barnaul Airport,https://en.wikipedia.org/wiki/Barnaul_Airport
