Name,URL,
Pakistan Institute of Medical Sciences,https://en.wikipedia.org/wiki/Pakistan_Institute_of_Medical_Sciences,
Quaid-e-Azam International Hospital,https://en.wikipedia.org/wiki/Quaid-e-Azam_International_Hospital,
Abbas Institute of Medical Sciences,https://en.wikipedia.org/wiki/Abbas_Institute_of_Medical_Sciences,
Children Hospital Multan,https://en.wikipedia.org/wiki/Children_Hospital_Multan,
Council of Christian Hospitals,https://en.wikipedia.org/wiki/Council_of_Christian_Hospitals,
Dr. Agarwal's Eye Hospital,https://en.wikipedia.org/wiki/Dr._Agarwal%27s_Eye_Hospital,
Dr. Mohan's Diabetes Specialities Centre, https://en.wikipedia.org/wiki/Dr._Mohan%27s_Diabetes_Specialities_Centre,
Fortis Healthcare,https://en.wikipedia.org/wiki/Fortis_Healthcare,
Hinduja Healthcare,https://en.wikipedia.org/wiki/Hinduja_Healthcare,
LifeSpring Hospitals,https://en.wikipedia.org/wiki/LifeSpring_Hospitals,
Narayana Health,https://en.wikipedia.org/wiki/Narayana_Health,
Apollo Hospitals,https://en.wikipedia.org/wiki/Apollo_Hospitals,
CARE Hospitals,https://en.wikipedia.org/wiki/CARE_Hospitals,
Sahyadri Hospital,https://en.wikipedia.org/wiki/Sahyadri_Hospital,
Sanjeevan Hospitals,https://en.wikipedia.org/wiki/Sanjeevan_Hospitals,
Shalby Hospitals,https://en.wikipedia.org/wiki/Shalby_Hospitals,
Grant Medical College and Sir Jamshedjee Jeejeebhoy Group of Hospitals,https://en.wikipedia.org/wiki/Grant_Medical_College_and_Sir_Jamshedjee_Jeejeebhoy_Group_of_Hospitals,
Sterling Hospitals,https://en.wikipedia.org/wiki/Sterling_Hospitals,
Wockhardt Hospitals,https://en.wikipedia.org/wiki/Wockhardt_Hospitals,
Vasan Healthcare,https://en.wikipedia.org/wiki/Vasan_Healthcare,
Shaare Zedek Medical Center,https://en.wikipedia.org/wiki/Shaare_Zedek_Medical_Center,
Bikur Cholim Hospital,https://en.wikipedia.org/wiki/Bikur_Cholim_Hospital,
Hadassah Medical Center,https://en.wikipedia.org/wiki/Hadassah_Medical_Center#Ein_Kerem_campus,
Augusta Victoria Hospital,https://en.wikipedia.org/wiki/Augusta_Victoria_Hospital,
Makassed Hospital,https://en.wikipedia.org/wiki/Makassed_Hospital,
ALYN Hospital,https://en.wikipedia.org/wiki/ALYN_Hospital,
Kfar Shaul Mental Health Center,https://en.wikipedia.org/wiki/Kfar_Shaul_Mental_Health_Center,
Saint John Eye Hospital Group,https://en.wikipedia.org/wiki/Saint_John_Eye_Hospital_Group,
