                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                0.38839,                0.27135,                0.89234,                0.81794,                0.70452,                0.72863,                0.67692,                0.42815,                 2.9484,                0.86493,             0.00020506,             0.00020506,             0.00020506
                     74,                0.38124,                0.27001,                0.89208,                 0.8114,                0.72154,                0.74168,                0.69412,                0.41317,                  3.114,                0.85331,             0.00019799,             0.00019799,             0.00019799
                     75,                0.38563,                0.26783,                0.88637,                0.80048,                0.70767,                0.77341,                0.72038,                0.42038,                 3.2551,                0.86353,             0.00019092,             0.00019092,             0.00019092
                     76,                0.38089,                0.26818,                0.89193,                 0.7834,                0.71931,                0.73039,                0.67912,                0.42098,                 2.8328,                0.86687,             0.00018385,             0.00018385,             0.00018385
                     77,                0.37374,                0.26319,                0.89015,                0.79013,                0.73847,                0.73858,                 0.6897,                0.41487,                 2.8692,                0.85809,             0.00017679,             0.00017679,             0.00017679
                     78,                0.37824,                0.26449,                0.89075,                0.77266,                0.72213,                0.75538,                0.70647,                0.41997,                 3.4832,                0.86019,             0.00016972,             0.00016972,             0.00016972
                     79,                0.37778,                 0.2635,                0.89081,                  0.806,                0.71341,                0.72842,                0.68537,                0.41266,                 3.3903,                0.85359,             0.00016265,             0.00016265,             0.00016265
                     80,                0.37774,                0.26003,                 0.8892,                0.76035,                0.72725,                 0.7324,                0.68529,                0.40375,                 2.6742,                0.85128,             0.00015558,             0.00015558,             0.00015558
                     81,                0.36925,                0.25201,                0.88042,                0.77565,                 0.7138,                0.73711,                 0.6915,                0.41327,                 2.9468,                 0.8515,             0.00014851,             0.00014851,             0.00014851
                     82,                0.36641,                0.25462,                0.88611,                0.75296,                0.72455,                0.70703,                0.65925,                0.41328,                 2.9181,                0.85362,             0.00014144,             0.00014144,             0.00014144
                     83,                0.36235,                0.25498,                0.88186,                0.77902,                0.72559,                0.73692,                0.68898,                0.41845,                 2.9772,                0.85495,             0.00013437,             0.00013437,             0.00013437
                     84,                0.36898,                0.25421,                0.88359,                0.78426,                0.72996,                0.72869,                0.68083,                0.41463,                 2.7801,                0.85693,             0.00012731,             0.00012731,             0.00012731
                     85,                0.36455,                0.25845,                0.88326,                0.78546,                0.72628,                0.72847,                0.68089,                0.41714,                  3.049,                0.85525,             0.00012024,             0.00012024,             0.00012024
                     86,                0.36628,                0.25431,                0.88153,                0.76943,                 0.7306,                0.73414,                0.68793,                0.40556,                 2.9156,                0.84751,             0.00011317,             0.00011317,             0.00011317
                     87,                 0.3596,                0.24781,                0.88141,                0.78167,                0.73227,                0.72927,                0.68308,                0.40404,                 2.9637,                0.84938,              0.0001061,              0.0001061,              0.0001061
                     88,                0.36184,                0.25017,                0.88129,                0.78643,                0.72776,                 0.7213,                0.67589,                  0.404,                 2.9102,                0.85123,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     89,                0.35522,                0.23501,                0.88389,                 0.7898,                0.71999,                0.70959,                0.66775,                0.40177,                 3.0045,                0.85171,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     90,                  0.306,                0.19917,                0.82769,                0.74756,                0.73386,                0.73407,                 0.6889,                0.40533,                 2.5977,                0.85369,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     91,                0.29879,                0.19084,                0.82271,                0.75481,                0.73122,                0.71223,                0.66948,                0.40751,                  2.755,                0.85623,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     92,                0.29602,                0.18747,                0.81661,                 0.7963,                0.72975,                0.71313,                0.67178,                0.41226,                 2.9004,                0.85459,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     93,                0.29396,                0.18171,                0.81704,                0.78248,                0.73115,                0.71387,                0.66967,                 0.4092,                 2.7252,                0.85429,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     94,                0.29219,                0.18319,                0.81731,                0.77876,                0.73314,                0.72526,                0.68346,                0.41413,                 2.9508,                0.85491,              5.662e-05,              5.662e-05,              5.662e-05
                     95,                0.29251,                0.17977,                0.81722,                0.78106,                 0.7254,                0.72423,                 0.6815,                0.41175,                 3.0551,                0.85677,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     96,                0.28863,                0.17824,                0.81557,                0.78252,                0.72588,                0.72056,                0.67678,                0.41073,                 2.8923,                 0.8558,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     97,                 0.2853,                0.17748,                0.81102,                0.78945,                0.72629,                0.71513,                0.67389,                0.40985,                 3.0456,                0.85315,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     98,                0.28608,                0.17577,                0.81525,                0.78884,                0.73136,                0.72927,                0.68557,                0.41561,                 3.0552,                0.85612,             2.8346e-05,             2.8346e-05,             2.8346e-05
                     99,                 0.2799,                0.17785,                0.81097,                0.78643,                0.73065,                0.73172,                0.68752,                0.41103,                 2.9649,                0.85399,             2.1277e-05,             2.1277e-05,             2.1277e-05
