                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                0.34435,                0.22154,                0.88042,                0.84009,                0.49838,                0.73219,                0.68084,                0.42872,                 3.6486,                0.88806,             0.00012731,             0.00012731,             0.00012731
                     85,                0.34724,                0.22705,                0.88078,                0.85787,                0.49542,                0.69882,                0.65209,                0.42244,                 3.8698,                0.87662,             0.00012024,             0.00012024,             0.00012024
                     86,                0.34297,                0.22559,                0.87395,                0.85891,                0.48826,                0.69896,                0.65349,                0.42241,                 4.0139,                0.87956,             0.00011317,             0.00011317,             0.00011317
                     87,                0.34982,                0.22493,                0.88233,                0.87875,                0.49572,                0.72118,                0.68056,                0.41822,                 4.1735,                0.89004,              0.0001061,              0.0001061,              0.0001061
                     88,                0.34454,                0.21835,                0.88155,                0.84735,                0.53281,                0.70232,                0.65476,                0.42553,                 4.1643,                0.88778,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     89,                0.34135,                0.22038,                0.88382,                0.84715,                0.51785,                0.70059,                0.65543,                0.42482,                  4.223,                0.88982,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     90,                0.28617,                0.18074,                0.82215,                0.84359,                0.49359,                0.72406,                0.67804,                0.42696,                 3.6152,                0.89452,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     91,                0.28325,                0.17346,                0.82314,                0.82454,                0.53287,                0.72423,                0.67405,                0.42655,                 3.8258,                0.89988,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     92,                0.27879,                0.16707,                0.82437,                0.82406,                0.49912,                0.69812,                 0.6567,                0.41411,                 4.2352,                0.89182,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     93,                0.27651,                0.16812,                0.81932,                0.81505,                0.52396,                0.69435,                0.65654,                0.41043,                 4.3066,                0.88964,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     94,                0.27637,                0.16535,                0.81592,                0.82516,                0.50293,                0.69526,                0.64917,                0.41522,                 4.2947,                 0.8911,              5.662e-05,              5.662e-05,              5.662e-05
                     95,                0.27292,                0.16331,                0.81934,                0.82665,                0.50442,                0.69299,                0.65133,                0.41584,                 4.2594,                0.89273,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     96,                0.27314,                0.16314,                0.81444,                0.84395,                 0.5099,                0.71539,                0.67359,                 0.4234,                 4.1865,                0.89859,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     97,                0.26763,                0.16051,                0.81553,                0.84126,                0.49211,                0.71609,                0.67261,                0.42218,                 4.1321,                0.89857,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     98,                0.26554,                0.15802,                0.81474,                0.85775,                0.49276,                0.72951,                0.68543,                0.42753,                 4.1191,                0.90142,             2.8346e-05,             2.8346e-05,             2.8346e-05
                     99,                0.26484,                0.15531,                0.81784,                0.86162,                0.49472,                 0.7386,                0.69534,                0.42562,                 4.0867,                0.89927,             2.1277e-05,             2.1277e-05,             2.1277e-05
